DTC,,DD,40
DTC,,DD,40
PNA,HGL-1,DD,40
PNA,HGL-1,DD,40
PNA,HGL-1,DD,40
PNA,PGL 65-40,DD,40
AOC,THOMPSON M1,M,45
AZI,G,M,ZZ
BER,PM12S,M,9
CK,MODEL 23,M,9
CLT,M16,M,223
CLT,M16,M,223
CLT,,M,ZZ
CLT,M4,M,223
CLT,9MM CARBINE,M,9
CLT,9MM CARBINE,M,9
CLT,M16,M,223
CRY,AR15 AUTO SEAR,M,223
DAM,1919,M,8
DLO,,M,9
DTA,GLOCK AUTO SEAR,M,9
FAI,FMK3,M,9
FLE,,M,ZZ
GE,MP40,M,9
GE,AK47,M,762
GE,,M,9
GLC,,M,9
GLC,18,M,9
HEC,MP5,M,9
HEC,MP5,M,9
HEC,UMP,M,40
HEC,MP5,M,9
HEC,MP5,M,9
HEC,MP5,M,9
HEC,MP5,M,9
HEC,MP5,M,10
HEC,G36,M,223
HEC,,M,556
HEC,,M,9
HEC,MP5,M,9
IMI,MINI UZI,M,9
IMI,MINI UZI,M,9
IMI,GALIL,M,223
JSS,GLOCK AUTO SEAR,M,9
KSS,KISS-15,M,556
MIX,M10,M,45
MIX,M10,M,45
MIX,M10,M,45
RAF,1919A4,M,308
ROI,M60,M,308
ROI,M60,M,308
RPB,SM10,M,9
RPB,SM11,M,380
RPB,SM11,M,380
RPB,SM10,M,9
RPB,SM10,M,9
RPB,SM10,M,45
RPB,SM11,M,380
RRM,UZI,M,9
SQ,M45 (SWEDISH K),M,9
SR,AC556,M,223
STL,MK4/L2A3,M,9
STL,MK4/L2A3,M,9
SWD,M11/9,M,9
SWD,M11/9,M,9
SWD,M11/9,M,9
SX,AK47,M,762
SX,PPSH41,M,762
USA,M1919A4 BROWNING,M,30
USA,M3,M,45
USA,THOMPSON M1A1,M,45
USA,M42,M,9
ZZZ,,M,762
ZZZ,,M,380
ZZZ,,M,8
ZZZ,,M,8
ZZZ,,M,9
ZZZ,1919,M,30
ZZZ,,M,ZZ
ZZZ,,M,9
ZZZ,,M,32
ZZZ,,M,9
ZZZ,,M,ZZ
ZZZ,,M,308
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
AAC,AP9,P,9
